Metadata_SMILES,Metadata_BROAD_ID,Scaffold
CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O,BRD-A00100033,O=S1(=O)CCN(N=Cc2ccco2)CC1
CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1,BRD-A00267231,c1ncc2ncn(C3CCCO3)c2n1
CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12,BRD-A00520476,O=C1Nc2cccnc2N(C(=O)CN2CCCCC2)c2ccccc21
CC(C)NCC(O)COc1ccccc1CC=C,BRD-A00993607,c1ccccc1
CCC(C(CC)c1ccc(O)cc1)c1ccc(O)cc1,BRD-A01078468,c1ccc(CCc2ccccc2)cc1
CCCN(C\C=C\I)C1CCc2ccc(O)cc2C1,BRD-A01295252,c1ccc2c(c1)CCCC2
OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1,BRD-A01320529,c1ccc(CCCCOCCCCCCNCCc2ccccc2)cc1
CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,BRD-A01593789,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,BRD-A01636364,O=C(Nc1ccccc1)C1CCCCN1
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,BRD-A01787639,c1ccc(N2CCN(CCCOc3cccc4ccccc34)CC2)cc1
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,BRD-A02006392,C1=CC(c2ccccc2)C=CN1
CC(=C)C1Cc2c(O1)ccc(C(O)=O)c2O,BRD-A02176148,c1ccc2c(c1)CCO2
CCC1(CCCCN(C)C1)c1cccc(O)c1,BRD-A02710418,c1ccc(C2CCCCNC2)cc1
CC(=O)O[C@@H]1CC2[C@](C)(CCC(=O)C2(C)C)C2CC[C@@]3(C)[C@@H](OC(=O)C=C3[C@]12C)c1ccoc1,BRD-A02713983,O=C1CCC2C(CCC3C4=CC(=O)OC(c5ccoc5)C4CCC32)C1
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,BRD-A02759312,c1ccc(CCOCC2CC2)cc1
CN1CCCCC1C(=O)Nc1c(C)cccc1C,BRD-A03216249,O=C(Nc1ccccc1)C1CCCCN1
OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N,BRD-A03359064,O=C(NCCNCCCOc1ccccc1)Nc1ccccc1
COCCc1ccc(OCC(O)CNC(C)C)cc1,BRD-A03623303,c1ccccc1
CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,BRD-A03816571,c1ccc(C2CCCCC2)cc1
CC(C)NCC(O)c1ccc(O)c(O)c1,BRD-A04322457,c1ccccc1
Oc1cc2C(CN(CC=C)CCc2c(Cl)c1O)c1ccccc1,BRD-A04438777,c1ccc(C2CNCCc3ccccc32)cc1
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,BRD-A04553218,c1ccc(Cc2ccccn2)cc1
CCOC(OCC)P(O)(=O)CCCNCc1ccc(Cl)c(Cl)c1,BRD-A04668240,c1ccccc1
CCCC(=O)Nc1ncnc2n(cnc12)C1OC2COP(O)(=O)OC2C1OC(=O)CCC,BRD-A04706586,O=[PH]1OCC2OC(n3cnc4cncnc43)CC2O1
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,BRD-A05186015,c1ccccc1
CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,BRD-A06352418,c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1
O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13,BRD-A06352508,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1
CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,BRD-A06390036,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1
CCCC(=O)Nc1nc2n(cnc2c(=O)[nH]1)C1O[C@H]2COP(O)(=O)O[C@@H]2[C@@H]1OC(=O)CCC,BRD-A06726973,O=c1[nH]cnc2c1ncn2C1CC2O[PH](=O)OCC2O1
C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)C2[C@H](O)C[C@@H]2[C@]1(C)C[C@H](OC(C)=O)\C2=C(/CCC=C(C)C)C(O)=O,BRD-A06935312,C=C1CCC2C1CCC1C3CCCCC3CCC21
CCCCOc1cc(CC2CNC(=O)N2)ccc1OC,BRD-A07207424,O=C1NCC(Cc2ccccc2)N1
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O,BRD-A07440155,c1ccc(CCCNCCc2ccccc2)cc1
CC(C)NCC(O)c1cc(O)cc(O)c1,BRD-A07780951,c1ccccc1
O=C1CC(Oc2ccccc12)c1ccccc1,BRD-A07824748,O=C1CC(c2ccccc2)Oc2ccccc21
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCC=Cc1ccccc1,BRD-A07875874,O=C(OCC=Cc1ccccc1)C1=CNC=CC1c1ccccc1
CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1,BRD-A07932845,c1ccc2c(c1)CC(N1CCNCC1)c1ccccc1S2
CCC(C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(C)(=O)=O)C(=O)OC(C)C)NC[C@@H](N)CS,BRD-A07952294,c1ccccc1
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,BRD-A08187463,O=C(CCc1ccccc1)NCC(=O)OCc1ccccc1
CO[C@H](C)C(O)(C(C)C)C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12,BRD-A08709697,C1=CC2CCCN2C1
COC1=CC23CCCN2CCc2cc4OCOc4cc2C3C1O,BRD-A08877921,C1=CC23CCCN2CCc2cc4c(cc2C3C1)OCO4
COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1,BRD-A09056319,O=C(NCCCNc1ncc2ccccc2n1)C1CCCO1
CCC(C)(CN(C)C)OC(=O)c1ccccc1,BRD-A09062839,c1ccccc1
O=C1CC2OCC=C3CN4CC[C@@]56C4C[C@@H]3[C@@H]2C5N1c1ccccc61,BRD-A09094913,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@@]345)c3ccoc3)[C@@]12C,BRD-A09161221,O=C1CCC2C(CO1)CC(=O)C1C2CCC2C(c3ccoc3)OC(=O)C3OC321
CC(=O)O[C@]1(CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]12C)C#C,BRD-A09349126,O=C1C=C2CCC3C4CCCC4CCC3C2CC1
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,BRD-A09467419,O=C(OCCCCNCCc1ccccc1)c1ccccc1
FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1,BRD-A09472452,O=C(NCC1CCCCN1)c1ccccc1
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,BRD-A09533288,c1ccc(CCCCNCCc2ccccc2)cc1
CN1C2CC[C@H]1C[C@H](C2)OC(=O)C(O)c1ccccc1,BRD-A09539288,O=C(Cc1ccccc1)OC1CC2CCC(C1)N2
